top_position,name,weeks_in_top,weekly_views,url_tarjeta
1,Blessd,243,"24,147,456",https://charts.youtube.com/artist/%2Fg%2F11ggbnjqvv
3,Diomedes Díaz,474,"16,400,463",https://charts.youtube.com/artist/%2Fm%2F01s8l_3
5,Binomio de Oro de América,474,"15,220,612",https://charts.youtube.com/artist/%2Fm%2F03gvskq
4,Ryan Castro,249,"14,746,330",https://charts.youtube.com/artist/%2Fg%2F11c6cbmt0k
2,Beéle,283,"13,870,652",https://charts.youtube.com/artist/%2Fg%2F11fm400jbf
6,Bad Bunny,472,"13,501,671",https://charts.youtube.com/artist/%2Fg%2F11gdq15782
7,Anuel AA,474,"12,852,001",https://charts.youtube.com/artist/%2Fg%2F11b7_v1rz5
8,KAROL G,463,"12,430,335",https://charts.youtube.com/artist/%2Fg%2F11bt_1zp4n
9,Feid,306,"10,390,781",https://charts.youtube.com/artist/%2Fg%2F11dymwhgcz
10,Kris R.,70,"9,306,899",https://charts.youtube.com/artist/%2Fg%2F11b7_sjnmq
13,Darío Gómez,474,"9,223,166",https://charts.youtube.com/artist/%2Fm%2F027vrfj
11,Ovy On The Drums,221,"9,116,595",https://charts.youtube.com/artist/%2Fg%2F11f2b2z9_y
14,Luis Alberto Posada,396,"8,961,434",https://charts.youtube.com/artist/%2Fg%2F11h_k26g_p
12,Silvestre Dangond,474,"8,891,565",https://charts.youtube.com/artist/%2Fm%2F02pr_vs
15,Los Inquietos Del Vallenato,466,"8,580,076",https://charts.youtube.com/artist/%2Fm%2F01q0dz2
18,Los Diablitos,466,"8,329,689",https://charts.youtube.com/artist/%2Fm%2F01qcksf
17,Arcángel,467,"7,917,945",https://charts.youtube.com/artist/%2Fm%2F043s9v8
16,Fuerza Regida,150,"7,382,234",https://charts.youtube.com/artist/%2Fg%2F11fy19q209
21,Don Omar,474,"7,151,731",https://charts.youtube.com/artist/%2Fm%2F04lxnb
22,Luis Alfonso,196,"7,128,640",https://charts.youtube.com/artist/%2Fg%2F11fssf65gn
19,Myke Towers,348,"7,058,781",https://charts.youtube.com/artist/%2Fg%2F11h4msckqh
20,Romeo Santos,474,"7,035,758",https://charts.youtube.com/artist/%2Fm%2F09gdrgy
23,Farruko,474,"6,757,539",https://charts.youtube.com/artist/%2Fm%2F0hzrhcm
24,Vicente Fernández,474,"6,614,087",https://charts.youtube.com/artist/%2Fm%2F067swc
28,El Andariego,283,"6,511,319",https://charts.youtube.com/artist/%2Fg%2F11b7_wwyfx
26,Yeison Jimenez,467,"6,482,182",https://charts.youtube.com/artist/%2Fg%2F11gxfrfmks
27,Daddy Yankee,474,"6,414,419",https://charts.youtube.com/artist/%2Fm%2F01wbl_r
25,Grupo Niche,474,"6,396,643",https://charts.youtube.com/artist/%2Fm%2F06bzrw
31,Maluma,474,"5,888,643",https://charts.youtube.com/artist/%2Fm%2F0y7r5y0
29,Ozuna,474,"5,775,775",https://charts.youtube.com/artist/%2Fm%2F0yc1jt1
32,J Balvin,474,"5,702,049",https://charts.youtube.com/artist/%2Fm%2F0b__5gp
33,Kapo,70,"5,652,262",https://charts.youtube.com/artist/%2Fg%2F11h3jhb_70
30,Nanpa Básico,363,"5,243,922",https://charts.youtube.com/artist/%2Fg%2F11gcms19rn
34,Bryant Myers,449,"5,062,876",https://charts.youtube.com/artist/%2Fg%2F11c5s_dy_j
35,Juancho De la Espriella,438,"4,965,291",https://charts.youtube.com/artist/%2Fm%2F02ps4f_
38,Ñengo Flow,345,"4,836,992",https://charts.youtube.com/artist/%2Fm%2F0h3rxh8
40,Farid Ortiz,344,"4,765,451",https://charts.youtube.com/artist/%2Fg%2F1ywpnk8tr
37,Rauw Alejandro,349,"4,703,435",https://charts.youtube.com/artist/%2Fg%2F11fjwxgdfk
42,Iván Zuleta,474,"4,690,704",https://charts.youtube.com/artist/%2Fm%2F0nhf205
36,Aventura,474,"4,689,937",https://charts.youtube.com/artist/%2Fm%2F0126p9
39,Jhonny Rivera,472,"4,607,444",https://charts.youtube.com/artist/%2Fm%2F0frqhd9
41,Luar La L,155,"4,461,187",https://charts.youtube.com/artist/%2Fg%2F11gy1xzqt_
49,Juancho Rois,474,"4,445,660",https://charts.youtube.com/artist/%2Fm%2F0shprq6
43,Daniel Calderón,73,"4,354,827",https://charts.youtube.com/artist/%2Fg%2F11b7_scch6
47,Fernando Burbano,291,"4,268,050",https://charts.youtube.com/artist/%2Fg%2F11c5s6q0jj
44,Nicky Jam,474,"4,215,167",https://charts.youtube.com/artist/%2Fm%2F01q7z27
50,Grupo Firme,218,"4,101,022",https://charts.youtube.com/artist/%2Fg%2F11nxd610l7
51,Wisin & Yandel,433,"4,099,232",https://charts.youtube.com/artist/%2Fm%2F01qfzxh
52,Andres Franco,49,"4,040,902",https://charts.youtube.com/artist/%2Fg%2F11ny0bg1qk
48,Shakira,474,"4,033,540",https://charts.youtube.com/artist/%2Fm%2F01wj18h
46,Peso Pluma,139,"4,016,489",https://charts.youtube.com/artist/%2Fg%2F11h936h21j
45,Pirlo,154,"3,919,008",https://charts.youtube.com/artist/%2Fg%2F11fx8dpmcw
59,Cosculluela,458,"3,676,743",https://charts.youtube.com/artist/%2Fm%2F04gp5x5
57,Rolando Ochoa,377,"3,667,307",https://charts.youtube.com/artist/%2Fg%2F12qhkwtvb
54,De La Ghetto,377,"3,590,781",https://charts.youtube.com/artist/%2Fm%2F04czjq_
53,Manuel Turizo,449,"3,463,464",https://charts.youtube.com/artist/%2Fg%2F11fy93z_dq
58,Pipe Bueno,372,"3,375,294",https://charts.youtube.com/artist/%2Fg%2F1214g68v
56,Sech,365,"3,367,814",https://charts.youtube.com/artist/%2Fg%2F11fl8_rx24
55,Sean Paul,319,"3,356,981",https://charts.youtube.com/artist/%2Fm%2F01wglss
65,El Charrito Negro,289,"3,286,091",https://charts.youtube.com/artist/%2Fg%2F11h5mkg4kx
82,Dei V,134,"3,272,867",https://charts.youtube.com/artist/%2Fg%2F11hg4kc8dl
70,Miguel Morales,423,"3,272,180",https://charts.youtube.com/artist/%2Fm%2F01vjscw
63,Carin Leon,251,"3,226,328",https://charts.youtube.com/artist/%2Fg%2F11f5d4v2p1
69,Los Tigres Del Norte,472,"3,152,572",https://charts.youtube.com/artist/%2Fm%2F01m4xy2
62,Willie Colón,472,"3,127,092",https://charts.youtube.com/artist/%2Fm%2F01mxqdc
-,Los Money Makers,21,"3,084,722",https://charts.youtube.com/artist/%2Fg%2F11vhbyb6dy
60,Grupo Frontera,156,"3,065,947",https://charts.youtube.com/artist/%2Fg%2F11sgvcmrch
73,Joan Sebastian,445,"3,057,205",https://charts.youtube.com/artist/%2Fm%2F01lk985
61,Ñejo,358,"3,010,831",https://charts.youtube.com/artist/%2Fm%2F01v77sd
71,Luister La Voz,173,"2,987,433",https://charts.youtube.com/artist/%2Fg%2F11cn365gb3
68,Plan B,321,"2,976,445",https://charts.youtube.com/artist/%2Fg%2F11bc59sr5_
66,Marc Anthony,474,"2,974,057",https://charts.youtube.com/artist/%2Fm%2F01wv9p
72,Jhon Alex Castaño,459,"2,961,489",https://charts.youtube.com/artist/%2Fg%2F11bt_97ldr
75,Marco Antonio Solís,361,"2,920,473",https://charts.youtube.com/artist/%2Fm%2F01lzr4j
-,Jessi Uribe,409,"2,909,582",https://charts.youtube.com/artist/%2Fg%2F11j0j0zryr
83,Pastor Lopez,162,"2,892,128",https://charts.youtube.com/artist/%2Fg%2F11bx8pxv_4
76,Jesús Adrián Romero,471,"2,882,348",https://charts.youtube.com/artist/%2Fm%2F01myf7q
67,KPop Demon Hunters Cast,16,"2,881,574",https://charts.youtube.com/artist/%2Fg%2F11yd_1ykrm
98,Rodolfo Aicardi,209,"2,798,887",https://charts.youtube.com/artist/%2Fm%2F01wh81s
77,Keyvin Ce,204,"2,747,780",https://charts.youtube.com/artist/%2Fg%2F11h84ffxy4
86,Los Hermanos Zuleta,260,"2,737,446",https://charts.youtube.com/artist/%2Fm%2F01ssb8n
79,W Sound,63,"2,734,362",https://charts.youtube.com/artist/%2Fg%2F11w5bj10pp
74,Darell,408,"2,733,300",https://charts.youtube.com/artist/%2Fg%2F11gmzljldl
87,Zion & Lennox,67,"2,729,798",https://charts.youtube.com/artist/%2Fg%2F11bv2p268f
64,Luis Mateus,244,"2,696,135",https://charts.youtube.com/artist/%2Fg%2F11h4cfw4yz
85,Christian Nodal,413,"2,654,630",https://charts.youtube.com/artist/%2Fg%2F11fx8hgh71
84,Chencho Corleone,312,"2,652,135",https://charts.youtube.com/artist/%2Fm%2F0rqkf34
93,Emilio Oviedo,235,"2,611,851",https://charts.youtube.com/artist/%2Fg%2F11b7_vldxg
81,Camilo,347,"2,577,911",https://charts.youtube.com/artist/%2Fm%2F0g5x9ny
91,Jorge Celedón,348,"2,573,142",https://charts.youtube.com/artist/%2Fm%2F03y9ls_
-,Diego Daza,234,"2,570,150",https://charts.youtube.com/artist/%2Fg%2F11f4xs6sjl
78,Fonseca,454,"2,557,203",https://charts.youtube.com/artist/%2Fm%2F08_ncy
80,Kany Garcia,343,"2,543,883",https://charts.youtube.com/artist/%2Fm%2F02x227g
90,Maná,449,"2,522,446",https://charts.youtube.com/artist/%2Fm%2F057dj2
96,Carlos Vives,474,"2,514,752",https://charts.youtube.com/artist/%2Fm%2F016883
99,Canserbero,474,"2,502,664",https://charts.youtube.com/artist/%2Fm%2F0nhqs5r
94,Greeicy,417,"2,490,460",https://charts.youtube.com/artist/%2Fg%2F1hh_pcw_h
89,Hades66,102,"2,484,030",https://charts.youtube.com/artist/%2Fg%2F11p662k3h6
100,Justin Quiles,414,"2,460,292",https://charts.youtube.com/artist/%2Fm%2F012pbw04
-,Los Betos,277,"2,454,369",https://charts.youtube.com/artist/%2Fm%2F01qckq0
